x,y,z,w
0.1518819,0.04912045,-0.212788,0.9639711
0.1521131,0.05058429,-0.2130435,0.9638025
0.1523414,0.05208596,-0.2132731,0.9636357
0.1526252,0.05355244,-0.2134988,0.9634604
0.1528964,0.05497385,-0.2137516,0.9632813
0.15317,0.05639383,-0.2139885,0.9631031
0.1534411,0.05779889,-0.2142324,0.9629225
0.1536411,0.05917525,-0.214504,0.9627464
0.15382,0.06061335,-0.2147293,0.9625782
0.1539495,0.06200803,-0.2150075,0.9624066
0.1540737,0.06338044,-0.2152783,0.9622367
0.1542188,0.06473864,-0.2155689,0.9620579
0.1543897,0.06600691,-0.2158595,0.9618792
0.1546037,0.0671911,-0.2161536,0.9616967
0.1548047,0.06830789,-0.2164627,0.9615162
0.1549533,0.06941161,-0.2167453,0.9613495
0.155058,0.07044589,-0.2170013,0.9611996
0.1551241,0.07148393,-0.2172604,0.9610538
0.1551566,0.07248516,-0.2174925,0.9609211
0.1551603,0.0734551,-0.2177285,0.9607934
0.155175,0.07440019,-0.2179637,0.9606649
0.1552206,0.07523026,-0.2181405,0.9605528
0.1552989,0.07602276,-0.2183405,0.9604323
0.1554244,0.07677858,-0.2185061,0.9603142
0.155549,0.07750563,-0.2186238,0.9602088
0.1556831,0.07826042,-0.2187407,0.9600992
0.1557751,0.07903505,-0.2188195,0.9600029
0.155859,0.07978719,-0.2188805,0.9599131
0.1559325,0.08051086,-0.2189609,0.9598225
0.1560035,0.08120818,-0.2190497,0.9597319
0.1560475,0.08183929,-0.2191061,0.9596582
0.15608,0.08241165,-0.2191563,0.9595926
0.1561817,0.08293662,-0.219223,0.9595155
0.1562728,0.08341559,-0.2192972,0.9594423
0.156355,0.0838672,-0.2193967,0.9593667
0.1564418,0.08432483,-0.219469,0.9592958
0.1565242,0.08476879,-0.2195539,0.9592239
0.1566026,0.08519824,-0.2196464,0.9591519
0.1566829,0.08561672,-0.219704,0.9590883
0.1567597,0.08600547,-0.2197401,0.9590327
0.1568249,0.08633552,-0.2197701,0.9589856
0.1568887,0.08665366,-0.2197915,0.9589415
0.1569447,0.08693521,-0.2198136,0.9589018
0.1569876,0.08715378,-0.2198355,0.9588699
0.157023,0.08734255,-0.2198675,0.9588396
0.1569866,0.08752017,-0.2198926,0.9588236
0.1569253,0.0876329,-0.2199224,0.9588165
0.1568375,0.08766252,-0.2199814,0.9588146
0.1567655,0.08768778,-0.2200366,0.9588115
0.1567608,0.08769614,-0.2200877,0.9587997
0.1566843,0.08764379,-0.220093,0.9588158
0.1566003,0.08758239,-0.2200994,0.9588336
0.1565347,0.08752564,-0.2200532,0.9588601
0.1564637,0.08740736,-0.2199911,0.9588968
0.1563786,0.08724216,-0.2199629,0.9589321
0.1563443,0.08705848,-0.2199299,0.958962
0.1562512,0.08684992,-0.219893,0.9590045
0.1561404,0.08661388,-0.2198653,0.9590504
0.156007,0.08636469,-0.2198229,0.9591042
0.1558678,0.08611715,-0.2197429,0.9591674
0.155719,0.08583631,-0.2196841,0.9592303
0.1555737,0.08557079,-0.2196227,0.9592916
0.1554534,0.0852651,-0.2195538,0.9593542
0.1553829,0.08490103,-0.2195078,0.9594083
0.1553031,0.08449607,-0.2194685,0.959466
0.155212,0.08403915,-0.2194323,0.959529
0.1551199,0.08356953,-0.2193824,0.9595965
0.1550223,0.08307347,-0.2193314,0.9596669
0.1549234,0.08255795,-0.2192573,0.9597443
0.154817,0.0819906,-0.2191548,0.9598335
0.1547684,0.08139275,-0.2190126,0.9599248
0.1547109,0.08074553,-0.2188573,0.960024
0.1546417,0.08004601,-0.2186629,0.9601381
0.1545755,0.0793331,-0.218418,0.9602636
0.1544488,0.07858328,-0.2181609,0.9604041
0.1543119,0.07778653,-0.2179058,0.9605488
0.1541739,0.07697702,-0.2176369,0.9606972
0.154025,0.07611463,-0.2173658,0.9608511
0.1538659,0.0752053,-0.2170968,0.9610091
0.1536453,0.07428137,-0.216817,0.9611793
0.1534087,0.07332651,-0.2165257,0.961356
0.1531681,0.07232105,-0.2162215,0.9615391
0.1529327,0.0712784,-0.215897,0.9617273
0.1526787,0.07020209,-0.2155772,0.9619185
0.1524341,0.06912501,-0.2152681,0.9621046
